ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35226,625,OPTSTK,CENTURYTEX,CENTURYTEX17FEB1120PE,1100,2017-02-23,1120,PE
35227,1567,OPTSTK,ABIRLANUVO,ABIRLANUVO17MAR1800CE,400,2017-03-30,1800,CE
35228,1567,OPTSTK,ABIRLANUVO,ABIRLANUVO17MAR1800PE,400,2017-03-30,1800,PE
35229,26000,OPTIDX,NIFTY,NIFTY18JUN9100CE,75,2018-06-28,9100,CE
35230,22,OPTSTK,ACC,ACC17MAR1720CE,400,2017-03-30,1720,CE
35231,22,OPTSTK,ACC,ACC17MAR1720PE,400,2017-03-30,1720,PE
35232,26000,OPTIDX,NIFTY,NIFTY18JUN9100PE,75,2018-06-28,9100,PE
35233,694,OPTSTK,CIPLA,CIPLA17FEB760CE,1000,2017-02-23,760,CE
35234,694,OPTSTK,CIPLA,CIPLA17FEB760PE,1000,2017-02-23,760,PE
35235,694,OPTSTK,CIPLA,CIPLA17FEB770CE,1000,2017-02-23,770,CE
35236,26000,OPTIDX,NIFTY,NIFTY18DEC9100CE,75,2018-12-27,9100,CE
35237,26000,OPTIDX,NIFTY,NIFTY18DEC9100PE,75,2018-12-27,9100,PE
35238,694,OPTSTK,CIPLA,CIPLA17FEB770PE,1000,2017-02-23,770,PE
35239,20374,OPTSTK,COALINDIA,COALINDIA17FEB405CE,1700,2017-02-23,405,CE
35240,20374,OPTSTK,COALINDIA,COALINDIA17FEB405PE,1700,2017-02-23,405,PE
35241,22,OPTSTK,ACC,ACC17MAR1740CE,400,2017-03-30,1740,CE
35242,22,OPTSTK,ACC,ACC17MAR1740PE,400,2017-03-30,1740,PE
35243,15141,OPTSTK,COLPAL,COLPAL17FEB520CE,700,2017-02-23,520,CE
35244,15141,OPTSTK,COLPAL,COLPAL17FEB520PE,700,2017-02-23,520,PE
35245,4749,OPTSTK,CONCOR,CONCOR17FEB760CE,500,2017-02-23,760,CE
35246,4749,OPTSTK,CONCOR,CONCOR17FEB760PE,500,2017-02-23,760,PE
35247,760,OPTSTK,CROMPGREAV,CROMPGREAV17FEB37.5CE,12000,2017-02-23,37,CE
35248,760,OPTSTK,CROMPGREAV,CROMPGREAV17FEB37.5PE,12000,2017-02-23,37,PE
